cj_preshway,CMG,CNH,CS,DMS,EG,GMR,GS,HB,HRS,Imbc,JW,JYP Ent,KB,KCC,KCI,KD,KG_M,KG_E,KH,KMH_hitex,KTH,KT,KOSPI
7600,2274,1245,5760,13700,3263,940545,93800,2760,2210,5820,4422,161760,1855,14947,1984,220447,7006,2940,8638,3147,4805,1232,409.880005
7690,2307,1275,5830,13950,3173,901553,94400,2765,2215,5910,4752,197540,1893,15356,2369,213158,7065,2855,8980,3120,4800,1228,420.769989
7570,2439,1290,5860,13900,3224,978159,97700,2780,2235,6050,4768,197540,1921,15006,2369,225489,7035,2795,8939,3067,4940,1242,447.070007
7420,2307,1255,6220,13400,3212,1035581,101000,2805,2230,6010,5823,179660,1823,14860,2471,220447,7473,2930,8658,3259,4920,1288,456
7440,2294,1265,6120,13100,3156,1073881,99800,2800,2230,5870,5987,178880,1771,14568,2369,216176,7210,2900,8758,3530,4990,1236,466
7210,2374,1260,6370,13350,3190,968571,99800,2785,2235,5990,5961,194440,1771,14831,2017,208118,7035,3095,8678,3450,4900,1240,479.549988
7350,2360,1255,5960,13300,3242,934657,100100,2850,2260,5900,5452,216220,1776,14480,1984,194020,6335,3000,8778,3087,4830,1300,512.27002
7400,2221,1260,6380,13800,3259,898616,97000,2730,2255,5600,4691,213100,1743,14276,1916,194535,6101,3130,8678,2808,4920,1272,502.309998
7470,2321,1250,6550,13950,3147,851468,95000,2690,2250,5610,4237,197540,1734,14247,1964,177421,6656,3410,9060,2878,4725,1278,529.25
7020,2294,1240,6810,13850,3139,834480,96600,2590,2270,5740,4527,205320,1757,14363,2017,183457,6947,3400,9180,3149,4860,1288,529.820007
7050,2268,1260,6570,14200,3297,888264,98000,2740,2300,5800,4803,197540,1827,14509,2138,192271,6918,3330,9060,3194,4900,1332,503.98999
7150,2241,1545,7100,14350,3636,914779,98100,2705,2260,6150,5020,204540,1874,14363,2066,194535,7123,3215,9320,3271,4750,1330,483.470001
7650,2354,1795,7280,14600,3769,881620,96400,2790,2270,6010,5010,208440,1874,14363,2394,195289,7356,3210,10022,3300,4800,1334,512.609985
7550,2288,1730,7440,14600,3525,869835,98300,2930,2275,6060,5020,209980,1879,14831,2430,190248,7269,3495,10783,3405,4660,1340,null
7600,2472,1735,7350,14600,3486,868394,98200,2865,2280,6280,5010,206880,1930,15006,2430,192769,7123,3500,10162,3271,4660,1350,null
7850,2545,1810,6850,14100,3417,824961,99400,2665,2325,6250,5400,210760,1930,15064,2487,193524,6744,3250,11044,3081,4490,1310,null
7800,2531,1800,7080,14050,3409,807965,98100,2330,2305,6160,5504,209220,1865,14217,2673,186474,6889,3400,11024,3096,4450,1362,528.47998
8000,2571,1900,6640,14050,3473,844824,98400,2200,2300,6060,6471,210760,1939,14247,2693,185464,6656,3215,10422,3152,4380,1360,556.580017
7700,2459,1850,6500,13550,3387,771169,95500,2195,2255,5980,6247,192880,1967,14276,2673,180936,6481,3155,10122,3397,4350,1420,547.700012
7800,2505,1720,6700,13750,3499,761573,96100,2000,2250,5870,6524,184320,1911,13692,2697,179940,6538,3020,10342,3931,4360,1380,552.969971
7700,2518,1685,6880,13100,3430,754929,99000,1990,2235,5850,6307,184320,1944,14393,2754,173133,6364,3000,10062,3910,4130,1356,546.73999
7700,2571,1665,7140,13300,3473,781443,101000,1890,2235,6000,6135,181980,2135,14597,2653,177421,7065,3025,10142,4015,4125,1380,539.309998
7800,2617,1710,7400,13250,3499,841124,105100,1880,2255,6000,6187,184320,2009,14714,2754,175396,7153,3100,9781,3805,4145,1350,543.080017
7450,2478,1715,7030,13000,3555,790284,104900,1950,2270,6000,6135,188220,1958,15298,3135,181691,6918,3060,10162,3692,4200,1370,554.830017
7500,2545,1780,7050,13100,3645,768217,106500,2035,2300,5990,6739,184320,1930,15590,3005,195786,7065,3110,10282,3608,4360,1352,539.219971
7680,2545,1830,6700,12850,3636,774869,100000,2280,2260,6120,6722,186660,1897,15035,3119,190248,7912,3150,10964,3440,4510,1330,516.5
7900,2511,1810,6870,13000,3636,766714,102100,2300,2345,6260,7301,187440,2009,15414,3090,198307,7969,3025,10443,3650,4500,1332,519.469971
7900,2498,1880,6720,13350,3756,774869,109900,2230,2355,6270,7207,185100,1995,15064,2932,187727,8174,3040,10022,3608,4900,1366,482.929993
8000,2486,1860,7200,13800,4288,790284,109200,2470,2360,6280,7093,184320,1991,14889,2795,184710,8875,2930,9741,3552,4955,1364,475.880005
8260,2478,1920,7270,13500,5369,838180,113000,2270,2330,6460,6792,179660,1939,15239,2633,177421,9255,2860,9821,3692,5050,1400,475.160004
8880,2459,1935,7240,13350,6166,894908,107100,2100,2425,6130,6662,174220,2107,15268,2673,173647,8962,2840,10262,4212,5050,1406,488.559998
8600,2419,2005,7900,13600,5506,905190,109200,2190,2395,6650,7777,173440,2117,15590,2746,173133,9371,3080,10182,4359,5440,1420,518.710022
8300,2347,1890,7560,13550,6003,864694,105000,2250,2370,6530,8642,178100,2098,15473,2791,173133,9575,2960,10022,4276,5270,1382,537.549988
8850,2360,1960,7520,13450,5000,834480,111000,2335,2400,6550,8218,175760,2172,15298,2884,179186,10218,2920,10142,4563,5210,1374,541.580017
8600,2307,1955,7880,13400,5060,858050,113000,2325,2450,6630,9419,178100,2107,15473,3078,179940,10334,3020,10262,4464,5720,1430,539.380005
8800,2294,1930,8430,13650,5171,955275,112000,2455,2460,6880,8900,185100,2112,15473,3192,190248,11123,3110,10623,4528,6000,1400,516.719971
8990,2360,1945,9800,13750,5283,919920,111000,2455,2435,6840,9506,190540,2168,15239,2957,188498,11006,3120,10783,4515,6070,1436,527.400024
8800,2399,1980,9090,13000,4820,894908,108700,2380,2465,6560,10110,188980,2331,15706,2831,195786,9926,3175,10382,4360,6070,1390,562.659973
8690,2374,1925,9480,12950,4931,863253,112400,2340,2405,6560,10715,203760,2345,15590,2924,195786,10043,3285,10302,4159,6000,1412,577.23999
8500,2374,1845,8750,12700,4811,871338,114000,2360,2380,6720,13049,199100,2256,15181,2714,210638,9663,3255,9340,4073,5750,1402,570.330017
8150,2162,1825,8250,12250,5000,881620,108000,2300,2420,6440,14518,189760,2191,14977,2689,187229,9721,3175,9420,3833,5720,1428,570.130005
8300,2109,1770,8150,11900,5197,898616,110600,2265,2545,6350,13957,198320,2238,15473,3621,188997,9575,3170,9140,3531,5940,1408,530.76001
8110,1931,1830,8360,11300,4991,794739,109800,2240,2400,6310,11838,187440,2070,15356,3240,193524,9284,3590,9180,3307,5680,1372,526.400024
8170,1793,1800,7900,10500,5283,754929,112900,2005,2345,6000,11234,179660,2042,15473,3054,206864,8174,2910,9100,3252,5660,1420,507.820007
8340,1608,1800,8230,9750,5532,747599,114300,2135,2400,6230,13913,179660,2019,15998,2932,221715,8787,3400,9200,3252,6490,1480,522.059998
8110,1529,1810,8440,10100,5446,780010,113500,2150,2470,6290,13741,179660,2051,15648,2884,214411,9050,3350,9420,3593,6440,1580,534.950012
